,CONDITION,sent_id,TARGET_WORD,SENTENCE,ITEM_ID,Plausibility,Connective
0,PLAUS_NOCONN,1.0,咬,张敏买了一只德国牧羊犬。这条狗脾气不定，而且很凶猛它咬伤了她的手。,1,1,0
1,IMPLAUS_NOCONN,2.0,紧张,王强急忙跑回了餐厅。幸好，他在桌子底下找到了自己的钱包。他紧张了整整一天的时间。,2,0,0
2,IMPLAUS_CONN,3.0,撞破,李娜把她的购物车推过洞坑。鸡蛋在袋子里滚。但是，它们还是撞破了纸箱。,3,0,1
3,PLAUS_CONN,4.0,雨伞,天看上去有些阴沉沉的。太阳一下子就升起来了。但是，王希还是从包裹拿出了雨伞遮雨。,4,1,1
4,PLAUS_NOCONN,5.0,饿,刘伟正在看着家。他完全忘记了给猫喂食。到了周末，它饿死了。,5,1,0
5,IMPLAUS_NOCONN,6.0,改善,失明的妇女接受了手术。医生对手术结果非常失望。第二天，她的视力改善了。,6,0,0
6,IMPLAUS_CONN,7.0,受伤,狗跑进了一条繁忙的街道。汽车超速行驶撞到了他。但是，这条狗还是受伤很严重。,7,0,1
7,PLAUS_CONN,8.0,庆祝,孙艳周一参加了历史考试。她参加了考试，但没有通过。但是，她还是回到家庆祝自己考得好。,8,1,1
8,PLAUS_NOCONN,9.0,枯萎,这家人周末出城了。保姆完全忘记了给植物浇水。植物枯萎了，然后整个变成棕色。,9,1,0
9,IMPLAUS_NOCONN,10.0,掌声,这位明星在音乐剧中独唱。她唱得很糟糕而且走调。观众为她响起的掌声非常热烈。,10,0,0
10,IMPLAUS_CONN,11.0,哭,刘婷是学校里的新生。其他孩子开始取笑她。但是，她还是在一天结束时哭起来了。,11,0,1
11,PLAUS_CONN,12.0,难过,赵娟在周二进行了一次测试。她获得了最高分。但是，她心里还是感到难过极了。,12,1,1
12,PLAUS_NOCONN,13.0,监禁,市政府官员被带上法庭。法官作出了不利于他们的裁决。他们立即被法官处以监禁了。,13,1,0
13,IMPLAUS_NOCONN,14.0,穷,周杰又往老虎机里投了一枚硬币。他不断试并赢了大奖。到最后他穷得连一分钱都没了。,14,0,0
14,IMPLAUS_CONN,15.0,开心,刘颖和李鹏在赌场赌博。他们赢了每一局赌局。但是，那天晚上他们还是开心极了。,15,0,1
15,PLAUS_CONN,16.0,痒,潘悦去露营度假。她用了一种很好的驱蚊剂。但是，她痒的感觉布满全身。,16,1,1
16,PLAUS_NOCONN,17.0,签,一位招聘人员来看李洋打棒球。他投得很好。他最后被球队签下了。,17,1,0
17,IMPLAUS_NOCONN,18.0,脏,隐士住在一个山洞里。他每天都在山间小溪里洗澡。他的头发看起来又脏又乱。,18,0,0
18,IMPLAUS_CONN,19.0,周,方磊需要2.5的平均分才能毕业。他了解到他的已经很高了。但是，他还会在下周和同学一起毕业入社会。,19,0,1
19,PLAUS_CONN,20.0,瘦,周涛有进食困难的问题。他停不下来吃东西。但是，不久以后，他还是瘦了很多。,20,1,1
20,PLAUS_NOCONN,21.0,抓,窃贼表现得笨拙，他不小心让警报响起来了。他因此被警卫抓起来了。,21,1,0
21,IMPLAUS_NOCONN,22.0,绊,周勇每天都会去慢跑。路是刚刚铺好的。他被绊了一下然后摔倒了。,22,0,0
22,IMPLAUS_CONN,23.0,减少,那年电话公司遇到了财务问题。它失去了许多客户。但是，此后不久，利润还是减少了很多。,23,0,1
23,PLAUS_CONN,24.0,担心,刘斌成绩很好，在学校从未惹麻烦。他总是很开朗，有很多朋友。但是，他的父母还是很担心他。,24,1,1
24,PLAUS_NOCONN,25.0,结束,两国多年来一直处于战争状态。领导人同意签署停火协议。不久后，两国的冲突终于结束了。,25,1,0
25,IMPLAUS_NOCONN,26.0,倒闭,该餐厅获得了人们极好的评价。它总是没有空余的座位。它在五月的时候倒闭了。,26,0,0
26,IMPLAUS_CONN,27.0,扔,牛奶已经放了一个多星期了。黄欣觉得它尝起来很酸。但是，她还是把它扔了出去。,27,0,1
27,PLAUS_CONN,28.0,拒绝,吴莉的男朋友给她带来了一些巧克力冰淇淋。这是她最爱的味道。但是，她还是拒绝了这份礼物。,28,1,1
28,PLAUS_NOCONN,29.0,喝彩,这位著名的钢琴家对她的演奏很有信心。她把这曲子弹得特别好。每个人都为她喝彩不断。,29,1,0
29,IMPLAUS_NOCONN,30.0,戳,女裁缝正在用别针别托比的西装。她别别针非常小心。赵伟被她戳了几下。,30,0,0
30,IMPLAUS_CONN,31.0,杂草,赵丹在后院有一个花园。她从未花太多时间照料它。但是，里面还是满是杂草和垃圾。,31,0,1
31,PLAUS_CONN,32.0,失望,体操运动员专门研究平衡木。她完美地完成了她的第一个动作。但是，她还是对自己失望极了。,32,1,1
32,PLAUS_NOCONN,33.0,负面,公司聘请了一名新员工。这位新员工懒惰而低效。他那个季度获得了负面的业绩评价。,33,1,0
33,IMPLAUS_NOCONN,34.0,禁足,王浩的父母发现他打算要戒烟。他们感到非常激动。他被禁足了一个星期的时间。,34,0,0
34,IMPLAUS_CONN,35.0,训斥,孩子和他父母一起参观博物馆。他伸手去摸一些艺术品。但是，博物馆警卫还是训斥了他。,35,0,1
35,PLAUS_CONN,36.0,升职,软件工程师的想法已经在新产品中实现了。结果不受欢迎。但是，他还是在公司升职了。,36,1,1
36,PLAUS_NOCONN,37.0,宿醉,那是大型足球比赛的日子。那天晚上赵阳喝了很多啤酒。第二天早上，他醒来觉得宿醉很难受。,37,1,0
37,IMPLAUS_NOCONN,38.0,被捕,州长遭到了他人的谋杀。犯罪现场全部都是他儿子的指纹。他的妻子立即被警察拘捕了。,38,0,0
38,IMPLAUS_CONN,39.0,生气,出租车载着乘客前往机场。乘客没有付钱就跳下了车。但是，出租车司机还是感到生气极了。,39,0,1
39,PLAUS_CONN,40.0,倒地,竞技场上进行了一场拳击比赛。一个人的拳头没有打中对方。但是，对方还是倒在地上起不来。,40,1,1
40,PLAUS_NOCONN,41.0,孤独,胡刚一个人在家待了整整一星期。他没有接到任何电话。那一个星期，他感到孤独极了。,41,1,0
41,IMPLAUS_NOCONN,42.0,注销,张秀记得她把信用卡忘在哪里了。她确定那在她的卧室某处。她立即注销了这个信用卡账户。,42,0,0
42,IMPLAUS_CONN,43.0,取消,吴倩本应在那周晚些时候去海岛度假。一场大飓风袭击了这个岛。但是，她的行程还是立即取消了。,43,0,1
