Item,Part,Quest,Gender,Edu,Time,Score,ITEM_ID,SENT_ID,SENTENCE,CONDITION,TARGET_WORD,SENT_COND
SR1a_01,4,SR1a,male,Baccalauréat,471,7,1,1,Olivia avait acheté un berger allemand. Le chien était imprévisible et violent. Il a mordu sa main.,PLAUS_NOCONN,mordu,SC1
SR1a_01,1,SR1a,male,Baccalauréat,1260,6,1,1,Olivia avait acheté un berger allemand. Le chien était imprévisible et violent. Il a mordu sa main.,PLAUS_NOCONN,mordu,SC1
SR1a_01,5,SR1a,male,Maîtrise,672,6,1,1,Olivia avait acheté un berger allemand. Le chien était imprévisible et violent. Il a mordu sa main.,PLAUS_NOCONN,mordu,SC1
SR1a_01,3,SR1a,male,Doctorat,730,7,1,1,Olivia avait acheté un berger allemand. Le chien était imprévisible et violent. Il a mordu sa main.,PLAUS_NOCONN,mordu,SC1
SR1a_01,2,SR1a,female,Diplôme_trois,1213,6,1,1,Olivia avait acheté un berger allemand. Le chien était imprévisible et violent. Il a mordu sa main.,PLAUS_NOCONN,mordu,SC1
SR1a_02,3,SR1a,male,Doctorat,730,4,2,6,"Claudio s'était dépêché de retourner au restaurant. Dieu merci, il a trouvé son portefeuille sous la table. Il s'est senti incroyablement tendu toute la journée.",IMPLAUS_NOCONN,tendu,SC2
SR1a_02,5,SR1a,male,Maîtrise,672,5,2,6,"Claudio s'était dépêché de retourner au restaurant. Dieu merci, il a trouvé son portefeuille sous la table. Il s'est senti incroyablement tendu toute la journée.",IMPLAUS_NOCONN,tendu,SC2
SR1a_02,4,SR1a,male,Baccalauréat,471,2,2,6,"Claudio s'était dépêché de retourner au restaurant. Dieu merci, il a trouvé son portefeuille sous la table. Il s'est senti incroyablement tendu toute la journée.",IMPLAUS_NOCONN,tendu,SC2
SR1a_02,1,SR1a,male,Baccalauréat,1260,3,2,6,"Claudio s'était dépêché de retourner au restaurant. Dieu merci, il a trouvé son portefeuille sous la table. Il s'est senti incroyablement tendu toute la journée.",IMPLAUS_NOCONN,tendu,SC2
SR1a_02,2,SR1a,female,Diplôme_trois,1213,5,2,6,"Claudio s'était dépêché de retourner au restaurant. Dieu merci, il a trouvé son portefeuille sous la table. Il s'est senti incroyablement tendu toute la journée.",IMPLAUS_NOCONN,tendu,SC2
SR1a_03,4,SR1a,male,Baccalauréat,471,1,3,11,"Carlotta a poussé le caddie sur les nids de poule. Les œufs ont été jetés dans le sac. Cependant, ils se sont cassés dans leur carton.",IMPLAUS_CONN,cassés,SC3
